Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,461124113,,,,461124113,,227534754,,,0
H4,2013,2013,2013,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,448202579,,,,448202579,,233489149,,,0
H4,2014,2014,2014,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0701,Potatoes; fresh or chilled,8,Weight in kilograms,689726197,,,,689726197,,382522607,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,799483675,,,,799483675,,886815889,,,0
H4,2013,2013,2013,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,855953251,,,,855953251,,1104454788,,,0
H4,2014,2014,2014,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0702,Tomatoes; fresh or chilled,8,Weight in kilograms,847181610,,,,847181610,,1044719377,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",8,Weight in kilograms,279721181,,,,279721181,,171310363,,,0
H4,2013,2013,2013,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",8,Weight in kilograms,302369067,,,,302369067,,203176016,,,0
H4,2014,2014,2014,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables; fresh or chilled",8,Weight in kilograms,419637496,,,,419637496,,253794811,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",8,Weight in kilograms,179115734,,,,179115734,,107326124,,,0
H4,2013,2013,2013,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",8,Weight in kilograms,209178669,,,,209178669,,125522130,,,0
H4,2014,2014,2014,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas; fresh or chilled",8,Weight in kilograms,253193279,,,,253193279,,133004081,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,8,Weight in kilograms,27548745,,,,27548745,,41531355,,,0
H4,2013,2013,2013,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,8,Weight in kilograms,35504145,,,,35504145,,49825939,,,0
H4,2014,2014,2014,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0705,Lettuce (lactuca sativa) and chicory (cichorium spp.) fresh or chilled,8,Weight in kilograms,33265835,,,,33265835,,44178371,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled",8,Weight in kilograms,250191432,,,,250191432,,143062721,,,0
H4,2013,2013,2013,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled",8,Weight in kilograms,332574662,,,,332574662,,183199612,,,0
H4,2014,2014,2014,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots; fresh or chilled",8,Weight in kilograms,310208672,,,,310208672,,172579405,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0707,Cucumbers and gherkins; fresh or chilled,8,Weight in kilograms,213917116,,,,213917116,,266737192,,,0
H4,2013,2013,2013,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0707,Cucumbers and gherkins; fresh or chilled,8,Weight in kilograms,214867254,,,,214867254,,291687976,,,0
H4,2014,2014,2014,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0707,Cucumbers and gherkins; fresh or chilled,8,Weight in kilograms,230926574,,,,230926574,,284561393,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0708,"Leguminous vegetables; shelled or unshelled, fresh or chilled",8,Weight in kilograms,825706,,,,825706,,744237,,,0
H4,2013,2013,2013,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0708,"Leguminous vegetables; shelled or unshelled, fresh or chilled",8,Weight in kilograms,891428,,,,891428,,789914,,,0
H4,2014,2014,2014,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0708,"Leguminous vegetables; shelled or unshelled, fresh or chilled",8,Weight in kilograms,837933,,,,837933,,887373,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",8,Weight in kilograms,316588150,,,,316588150,,461965935,,,0
H4,2013,2013,2013,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",8,Weight in kilograms,358072883,,,,358072883,,487003142,,,0
H4,2014,2014,2014,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0709,"Vegetables; n.e.c. in chapter 07, fresh or chilled",8,Weight in kilograms,334585795,,,,334585795,,414445533,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0710,Vegetables (uncooked or cooked by steaming or boiling in water); frozen,8,Weight in kilograms,123301241,,,,123301241,,90742035,,,0
H4,2013,2013,2013,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0710,Vegetables (uncooked or cooked by steaming or boiling in water); frozen,8,Weight in kilograms,142058157,,,,142058157,,103865922,,,0
H4,2014,2014,2014,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0710,Vegetables (uncooked or cooked by steaming or boiling in water); frozen,8,Weight in kilograms,148880560,,,,148880560,,111942210,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0711,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",8,Weight in kilograms,18633380,,,,18633380,,9836312,,,0
H4,2013,2013,2013,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0711,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",8,Weight in kilograms,17936675,,,,17936675,,9636611,,,0
H4,2014,2014,2014,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0711,"Vegetables provisionally preserved; (e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",8,Weight in kilograms,37313700,,,,37313700,,19820979,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",8,Weight in kilograms,24070723,,,,24070723,,47159134,,,0
H4,2013,2013,2013,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",8,Weight in kilograms,25961153,,,,25961153,,49711404,,,0
H4,2014,2014,2014,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0712,"Vegetables, dried; whole, cut, sliced, broken or in powder, but not further prepared",8,Weight in kilograms,25909638,,,,25909638,,47719875,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",8,Weight in kilograms,29352971,,,,29352971,,30522778,,,0
H4,2013,2013,2013,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",8,Weight in kilograms,36284029,,,,36284029,,39106156,,,0
H4,2014,2014,2014,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0713,"Vegetables, leguminous; shelled, whether or not skinned or split, dried",8,Weight in kilograms,44535894,,,,44535894,,48606216,,,0
H4,2012,2012,2012,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",8,Weight in kilograms,155832,,,,155832,,155389,,,0
H4,2013,2013,2013,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",8,Weight in kilograms,282657,,,,282657,,318491,,,0
H4,2014,2014,2014,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",8,Weight in kilograms,282952,,,,282952,,295374,,,0
H3,2010,2010,2010,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0701,"Potatoes, fresh or chilled.",8,Weight in kilograms,664320665,,,,664320665,,272239374,,,0
H3,2011,2011,2011,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0701,"Potatoes, fresh or chilled.",8,Weight in kilograms,1466231509,,,,1466231509,,728890457,,,0
H3,2010,2010,2010,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0702,"Tomatoes, fresh or chilled.",8,Weight in kilograms,697852848,,,,697852848,,767563060,,,0
H3,2011,2011,2011,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0702,"Tomatoes, fresh or chilled.",8,Weight in kilograms,730006700,,,,730006700,,814071843,,,0
H3,2010,2010,2010,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled.",8,Weight in kilograms,550659862,,,,550659862,,208089376,,,0
H3,2011,2011,2011,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled.",8,Weight in kilograms,517089496,,,,517089496,,286369932,,,0
H3,2010,2010,2010,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled.",8,Weight in kilograms,229114536,,,,229114536,,103939895,,,0
H3,2011,2011,2011,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled.",8,Weight in kilograms,327224867,,,,327224867,,170584227,,,0
H3,2010,2010,2010,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0705,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled.",8,Weight in kilograms,16213762,,,,16213762,,22826472,,,0
H3,2011,2011,2011,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0705,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled.",8,Weight in kilograms,22172491,,,,22172491,,33361017,,,0
H3,2010,2010,2010,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled.",8,Weight in kilograms,283853470,,,,283853470,,141956526,,,0
H3,2011,2011,2011,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled.",8,Weight in kilograms,353321954,,,,353321954,,184589575,,,0
H3,2010,2010,2010,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0707,"Cucumbers and gherkins, fresh or chilled.",8,Weight in kilograms,200600919,,,,200600919,,180533921,,,0
H3,2011,2011,2011,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0707,"Cucumbers and gherkins, fresh or chilled.",8,Weight in kilograms,183563228,,,,183563228,,219003199,,,0
H3,2010,2010,2010,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0708,"Leguminous vegetables, shelled or unshelled, fresh or chilled.",8,Weight in kilograms,266525,,,,266525,,269463,,,0
H3,2011,2011,2011,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0708,"Leguminous vegetables, shelled or unshelled, fresh or chilled.",8,Weight in kilograms,440882,,,,440882,,484205,,,0
H3,2010,2010,2010,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0709,"Other vegetables, fresh or chilled.",8,Weight in kilograms,246430699,,,,246430699,,332097743,,,0
H3,2011,2011,2011,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0709,"Other vegetables, fresh or chilled.",8,Weight in kilograms,262852248,,,,262852248,,385014372,,,0
H3,2010,2010,2010,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0710,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen.",8,Weight in kilograms,142224576,,,,142224576,,109230174,,,0
H3,2011,2011,2011,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0710,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen.",8,Weight in kilograms,137920919,,,,137920919,,121614869,,,0
H3,2010,2010,2010,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0711,"Vegetables provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption.",8,Weight in kilograms,11692019,,,,11692019,,6138157,,,0
H3,2011,2011,2011,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0711,"Vegetables provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption.",8,Weight in kilograms,14999834,,,,14999834,,6970820,,,0
H3,2010,2010,2010,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0712,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared.",8,Weight in kilograms,28408935,,,,28408935,,41295367,,,0
H3,2011,2011,2011,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0712,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared.",8,Weight in kilograms,28834997,,,,28834997,,50528281,,,0
H3,2010,2010,2010,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0713,"Dried leguminous vegetables, shelled, whether or not skinned or split.",8,Weight in kilograms,45165288,,,,45165288,,37234052,,,0
H3,2011,2011,2011,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0713,"Dried leguminous vegetables, shelled, whether or not skinned or split.",8,Weight in kilograms,42325991,,,,42325991,,38337762,,,0
H3,2010,2010,2010,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith.",8,Weight in kilograms,2236766,,,,2236766,,584484,,,0
H3,2011,2011,2011,4,0,1,Import,643,Russian Federation,RUS,0,World,WLD,,,,,,,,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith.",8,Weight in kilograms,103550,,,,103550,,120286,,,0
